"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-HQQ7NB0",,,,"User:","root"
"Cmdline:","dstat -t --freespace -m -c -Ctotal,0,1,2,3 --output /mnt/c/Users/seri1/Documents/jupyter/dstat/dstat.csv",,,,"Date:","09 May 2020 17:13:50 JST"
"system","/",,"/init",,"/unified",,"/c",,"memory usage",,,,"total cpu usage",,,,,"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,
"time","/:used","/:free","/init:used","/init:free","/unified:used","/unified:free","/c:used","/c:free","used","free","buff","cach","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl"
09-05 17:15:38,15552081920,253938311168,133847228416,120873897984,0,0,133847228416,120873897984,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:39,15552081920,253938311168,133847228416,120873897984,0,0,133847228416,120873897984,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:40,15552081920,253938311168,133847228416,120873897984,0,0,133847228416,120873897984,73285632,6146256896,11476992,300752896,0,0.512,99.488,0,0,0,1.010,98.990,0,0,0,0,100,0,0,0,0,100,0,0,0,1.020,98.980,0,0,
09-05 17:15:41,15552081920,253938311168,133847228416,120873897984,0,0,133847228416,120873897984,73285632,6146256896,11476992,300752896,0,0.248,99.752,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,
09-05 17:15:42,15552081920,253938311168,133847232512,120873893888,0,0,133847232512,120873893888,73285632,6146256896,11476992,300752896,0,0.246,99.754,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.980,99.020,0,0,
09-05 17:15:43,15552081920,253938311168,133847236608,120873889792,0,0,133847236608,120873889792,73285632,6146256896,11476992,300752896,0,0.249,99.751,0,0,0,0.980,99.020,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:44,15552081920,253938311168,133847236608,120873889792,0,0,133847236608,120873889792,73285632,6146256896,11476992,300752896,0,0.259,99.741,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.031,98.969,0,0,
09-05 17:15:45,15552081920,253938311168,133847240704,120873885696,0,0,133847240704,120873885696,73285632,6146256896,11476992,300752896,0.750,0.250,99,0,0,0,1,99,0,0,1.980,0,98.020,0,0,0,0,100,0,0,1.010,0,98.990,0,0,
09-05 17:15:46,15552081920,253938311168,133847240704,120873885696,0,0,133847240704,120873885696,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:47,15552081920,253938311168,133847240704,120873885696,0,0,133847240704,120873885696,73285632,6146256896,11476992,300752896,0.250,0.250,99.500,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0.990,98.020,0,0,
09-05 17:15:48,15552081920,253938311168,131207745536,123513380864,0,0,131207745536,123513380864,73285632,6146256896,11476992,300752896,0,0.253,99.747,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.010,98.990,0,0,
09-05 17:15:49,15552081920,253938311168,131207745536,123513380864,0,0,131207745536,123513380864,73285632,6146256896,11476992,300752896,0.248,0.248,99.504,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0.990,98.020,0,0,
09-05 17:15:50,15552081920,253938311168,131207790592,123513335808,0,0,131207790592,123513335808,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:51,15552081920,253938311168,131207815168,123513311232,0,0,131207815168,123513311232,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:52,15552081920,253938311168,131114848256,123606278144,0,0,131114848256,123606278144,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:53,15552081920,253938311168,131114848256,123606278144,0,0,131114848256,123606278144,73285632,6146256896,11476992,300752896,0.249,0,99.751,0,0,0.990,0,99.010,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:54,15552081920,253938311168,131114848256,123606278144,0,0,131114848256,123606278144,73285632,6146256896,11476992,300752896,0.249,0.249,99.501,0,0,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,
09-05 17:15:55,15552081920,253938311168,131111235584,123609890816,0,0,131111235584,123609890816,73285632,6146256896,11476992,300752896,0.250,0.250,99.500,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:15:56,15552081920,253938311168,131111235584,123609890816,0,0,131111235584,123609890816,73285632,6146256896,11476992,300752896,0.251,0,99.749,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:15:57,15552081920,253938311168,131111288832,123609837568,0,0,131111288832,123609837568,73285632,6146256896,11476992,300752896,0.249,0.249,99.501,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:15:58,15552081920,253938311168,131111354368,123609772032,0,0,131111354368,123609772032,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:59,15552081920,253938311168,131111354368,123609772032,0,0,131111354368,123609772032,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:16:00,15552081920,253938311168,131111354368,123609772032,0,0,131111354368,123609772032,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:16:01,15552081920,253938311168,131111354368,123609772032,0,0,131111354368,123609772032,73285632,6146256896,11476992,300752896,0.248,0.248,99.504,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:16:02,15552081920,253938311168,131111354368,123609772032,0,0,131111354368,123609772032,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:16:03,15552081920,253938311168,131111354368,123609772032,0,0,131111354368,123609772032,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:16:04,15552081920,253938311168,131111354368,123609772032,0,0,131111354368,123609772032,73285632,6146256896,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:16:05,15552081920,253938311168,131111358464,123609767936,0,0,131111358464,123609767936,73285632,6146256896,11476992,300752896,0,0.251,99.749,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:16:06,15552081920,253938311168,131111358464,123609767936,0,0,131111358464,123609767936,73285632,6146256896,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:16:07,15552081920,253938311168,131111358464,123609767936,0,0,131111358464,123609767936,73285632,6146256896,11476992,300752896,0,0.251,99.749,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:16:08,15552081920,253938311168,131111358464,123609767936,0,0,131111358464,123609767936,73285632,6146256896,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:16:09,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.249,0.249,99.501,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0.990,0,99.010,0,0,
09-05 17:16:10,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.251,0,99.749,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:16:11,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.249,0.249,99.501,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,1,0,99,0,0,
09-05 17:16:12,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.249,0.249,99.501,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:16:13,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:16:14,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:16:15,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:16:16,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.248,0.496,99.256,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0.980,0.980,98.039,0,0,
09-05 17:16:17,15552081920,253938311168,131111489536,123609636864,0,0,131111489536,123609636864,73351168,6146191360,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
